elapsed=657, initial=30, delta=-30, duration=1000, res=30
elapsed=657, initial=40, delta=0, duration=1000, res=40
elapsed=673, initial=30, delta=-30, duration=1000, res=30
elapsed=673, initial=40, delta=0, duration=1000, res=40
elapsed=690, initial=30, delta=-30, duration=1000, res=30
elapsed=690, initial=40, delta=0, duration=1000, res=40
elapsed=706, initial=30, delta=-30, duration=1000, res=30
elapsed=706, initial=40, delta=0, duration=1000, res=40
elapsed=722, initial=30, delta=-30, duration=1000, res=30
elapsed=722, initial=40, delta=0, duration=1000, res=40
elapsed=738, initial=30, delta=-30, duration=1000, res=30
elapsed=738, initial=40, delta=0, duration=1000, res=40
elapsed=754, initial=30, delta=-30, duration=1000, res=30
elapsed=754, initial=40, delta=0, duration=1000, res=40
elapsed=770, initial=30, delta=-30, duration=1000, res=30
elapsed=770, initial=40, delta=0, duration=1000, res=40
elapsed=786, initial=30, delta=-30, duration=1000, res=30
elapsed=786, initial=40, delta=0, duration=1000, res=40
elapsed=802, initial=30, delta=-30, duration=1000, res=30
elapsed=802, initial=40, delta=0, duration=1000, res=40
elapsed=818, initial=30, delta=-30, duration=1000, res=30
elapsed=818, initial=40, delta=0, duration=1000, res=40
elapsed=834, initial=30, delta=-30, duration=1000, res=30
elapsed=834, initial=40, delta=0, duration=1000, res=40
elapsed=850, initial=30, delta=-30, duration=1000, res=30
elapsed=850, initial=40, delta=0, duration=1000, res=40
elapsed=866, initial=30, delta=-30, duration=1000, res=30
elapsed=866, initial=40, delta=0, duration=1000, res=40
elapsed=882, initial=30, delta=-30, duration=1000, res=30
elapsed=882, initial=40, delta=0, duration=1000, res=40
elapsed=898, initial=30, delta=-30, duration=1000, res=30
elapsed=898, initial=40, delta=0, duration=1000, res=40
elapsed=914, initial=30, delta=-30, duration=1000, res=30
elapsed=914, initial=40, delta=0, duration=1000, res=40
elapsed=930, initial=30, delta=-30, duration=1000, res=30
elapsed=930, initial=40, delta=0, duration=1000, res=40
elapsed=946, initial=30, delta=-30, duration=1000, res=30
elapsed=946, initial=40, delta=0, duration=1000, res=40
elapsed=963, initial=30, delta=-30, duration=1000, res=30
elapsed=963, initial=40, delta=0, duration=1000, res=40
elapsed=979, initial=30, delta=-30, duration=1000, res=30
elapsed=979, initial=40, delta=0, duration=1000, res=40
elapsed=996, initial=30, delta=-30, duration=1000, res=30
elapsed=996, initial=40, delta=0, duration=1000, res=40
elapsed=1000, initial=30, delta=-30, duration=1000, res=0
elapsed=1000, initial=40, delta=0, duration=1000, res=40
